material_id,formula,volume,density,crystal_system,nsites,elements,chemsys,band_gap,formation_energy_per_atom,avg_coordination,avg_bond_length,electronegativity_diff,radii_ratio,avg_atomic_mass,packing_efficiency,symmetry_deviation
mp-850099,CuS2,52.54267318712817,4.035024733365863,Tetragonal,3,"Cu, S",Cu-S,0.0,0.351984672951388,2.6666666666666665,2.2702590021630455,0.6800000000000002,1.35,47.805499999999995,0.08440503149984549,1
mp-1096941,CuS,60.4795241933915,2.625116563235804,Trigonal,2,"Cu, S",Cu-S,0.0,0.015914866093751,3.0,2.1489352991493393,0.6800000000000002,1.35,47.805499999999995,0.05491243817627269,1
mp-504,CuS,200.7320549599949,4.745603806875806,Hexagonal,12,"Cu, S",Cu-S,0.0,-0.27717430807291704,4.0,2.250220766413317,0.6800000000000002,1.35,47.805499999999995,0.09926899220541165,0
mp-558139,CuS,59.817975954839724,5.308297319071935,Hexagonal,4,"Cu, S",Cu-S,0.0,0.008778086093752,6.0,2.472356243241803,0.6800000000000002,1.35,47.805499999999995,0.11103946866096862,0
mp-1068,CuS2,193.02156187341402,4.39351922778992,Cubic,12,"Cu, S",Cu-S,0.0,-0.175410109374999,4.666666666666667,2.3880230048371116,0.6800000000000002,1.35,47.805499999999995,0.09190405346225686,0
mp-760381,CuS,34.34822657643533,4.622241568815497,Cubic,2,"Cu, S",Cu-S,0.0,-0.267360408906249,4.0,2.23437162318975,0.6800000000000002,1.35,47.805499999999995,0.09668848916579677,0
mp-1023128,CuS,29.05010314254594,5.46524051627785,Cubic,2,"Cu, S",Cu-S,0.0,-0.152398518906249,6.0,2.4399030000000006,0.6800000000000002,1.35,47.805499999999995,0.11432242140083988,0
mp-684604,CuS2,59.955980153637455,3.536110748651634,Monoclinic,3,"Cu, S",Cu-S,0.0,-0.085144177048611,3.3333333333333335,2.1966319027994463,0.6800000000000002,1.35,47.805499999999995,0.07396870127185437,1
mp-849086,CuS2,97.89872550147206,4.331230764879235,Orthorhombic,6,"Cu, S",Cu-S,0.0,-0.17964995520833402,4.666666666666667,2.379587692619116,0.6800000000000002,1.35,47.805499999999995,0.09060109746533841,1
mp-1147712,CuS2,221.5668998563784,3.827484809412397,Orthorhombic,12,"Cu, S",Cu-S,0.0,-0.14513918288194402,2.6666666666666665,2.3272446511565303,0.6800000000000002,1.35,47.805499999999995,0.08006369161314907,1
mp-555599,CuS,200.35197715119716,4.754606456722273,Orthorhombic,12,"Cu, S",Cu-S,0.0,-0.277304490572916,4.0,2.2466084693393014,0.6800000000000002,1.35,47.805499999999995,0.09945731049193657,1
mp-674831,Cu2S,299.18514114414893,5.300124502416815,Triclinic,18,"Cu, S",Cu-S,0.0,-0.10080877857638701,3.0,2.2712338646015744,0.6800000000000002,1.35,47.805499999999995,0.11086850890413898,1
mp-1225993,Cu2S,151.93759268382877,3.478881184761393,Monoclinic,6,"Cu, S",Cu-S,1.2158,-0.149836503020832,2.6666666666666665,2.1634329794036433,0.6800000000000002,1.35,47.805499999999995,0.07277156780624391,1
mp-2014814,Cu2S,119.23849208518529,4.432904368398873,Monoclinic,6,"Cu, S",Cu-S,0.9229,-0.13920874093750002,2.6666666666666665,2.1889140088139367,0.6800000000000002,1.35,47.805499999999995,0.09272791558291145,1
mp-1394093,Cu2S,84.7657540427957,6.235688438267789,Tetragonal,6,"Cu, S",Cu-S,0.0,-0.08407624802083301,2.6666666666666665,2.277884286451947,0.6800000000000002,1.35,47.805499999999995,0.13043872437832027,1
mp-581212,Cu2S,2160.5959945277928,5.87141141186352,Monoclinic,144,"Cu, S",Cu-S,0.27789999999999904,-0.19911569913194102,3.9166666666666665,2.3121221252299895,0.6800000000000002,1.35,47.805499999999995,0.1228187428614599,1
mp-2831205,Cu2S,93.40556019080854,5.658901154984195,Tetragonal,6,"Cu, S",Cu-S,0.0,-0.116252016354165,2.6666666666666665,2.2593556797899828,0.6800000000000002,1.35,47.805499999999995,0.11837343307745335,1
mp-1225835,Cu2S,97.13586027431336,5.441582860881794,Monoclinic,6,"Cu, S",Cu-S,0.0,-0.15485830427083302,3.3333333333333335,2.2154617936107175,0.6800000000000002,1.35,47.805499999999995,0.11382754831309774,1
