material_id,formula,volume,density,crystal_system,nsites,elements,chemsys,band_gap,formation_energy_per_atom
mp-850099,CuS2,52.54267318712817,4.035024733365863,Tetragonal,3,"Cu, S",Cu-S,0.0,0.351984672951388
mp-1096941,CuS,60.4795241933915,2.625116563235804,Trigonal,2,"Cu, S",Cu-S,0.0,0.015914866093751
mp-504,CuS,200.7320549599949,4.745603806875806,Hexagonal,12,"Cu, S",Cu-S,0.0,-0.27717430807291704
mp-558139,CuS,59.817975954839724,5.308297319071935,Hexagonal,4,"Cu, S",Cu-S,0.0,0.008778086093752
mp-1068,CuS2,193.02156187341402,4.39351922778992,Cubic,12,"Cu, S",Cu-S,0.0,-0.175410109374999
mp-760381,CuS,34.34822657643533,4.622241568815497,Cubic,2,"Cu, S",Cu-S,0.0,-0.267360408906249
mp-1023128,CuS,29.05010314254594,5.46524051627785,Cubic,2,"Cu, S",Cu-S,0.0,-0.152398518906249
mp-684604,CuS2,59.955980153637455,3.536110748651634,Monoclinic,3,"Cu, S",Cu-S,0.0,-0.085144177048611
mp-849086,CuS2,97.89872550147206,4.331230764879235,Orthorhombic,6,"Cu, S",Cu-S,0.0,-0.17964995520833402
mp-1147712,CuS2,221.5668998563784,3.827484809412397,Orthorhombic,12,"Cu, S",Cu-S,0.0,-0.14513918288194402
mp-555599,CuS,200.35197715119716,4.754606456722273,Orthorhombic,12,"Cu, S",Cu-S,0.0,-0.277304490572916
mp-674831,Cu2S,299.18514114414893,5.300124502416815,Triclinic,18,"Cu, S",Cu-S,0.0,-0.10080877857638701
mp-1225993,Cu2S,151.93759268382877,3.478881184761393,Monoclinic,6,"Cu, S",Cu-S,1.2158,-0.149836503020832
mp-2014814,Cu2S,119.23849208518529,4.432904368398873,Monoclinic,6,"Cu, S",Cu-S,0.9229,-0.13920874093750002
mp-1394093,Cu2S,84.7657540427957,6.235688438267789,Tetragonal,6,"Cu, S",Cu-S,0.0,-0.08407624802083301
mp-581212,Cu2S,2160.5959945277928,5.87141141186352,Monoclinic,144,"Cu, S",Cu-S,0.27789999999999904,-0.19911569913194102
mp-2831205,Cu2S,93.40556019080854,5.658901154984195,Tetragonal,6,"Cu, S",Cu-S,0.0,-0.116252016354165
mp-1225835,Cu2S,97.13586027431336,5.441582860881794,Monoclinic,6,"Cu, S",Cu-S,0.0,-0.15485830427083302
mp-553942,Cu2S,83.88161311073563,6.301414730161676,Hexagonal,6,"Cu, S",Cu-S,0.0,0.026702616979167003
mp-12087,Cu2S,42.80679427061594,6.173936187608224,Cubic,3,"Cu, S",Cu-S,0.0,-0.117489439687498
mp-1225811,Cu2S,45.756707050710325,5.775905506704364,Orthorhombic,3,"Cu, S",Cu-S,0.160499999999999,-0.155929389687499
mp-618991,Cu2S,174.49741373094642,6.058231135284408,Tetragonal,12,"Cu, S",Cu-S,0.1303,-0.19227918343750003
mp-1225731,Cu3S2,71.55261410879497,5.912463467460496,Tetragonal,5,"Cu, S",Cu-S,0.0,-0.152028229458332
mp-624299,Cu7S4,665.4827778457887,5.7199078987181835,Orthorhombic,44,"Cu, S",Cu-S,0.0,-0.23100398988636303
mp-685108,Cu9S5,199.1363793041762,6.105923336744216,Triclinic,14,"Cu, S",Cu-S,0.0,-0.12350686680803401
mp-685056,Cu9S16,525.6389500164605,3.427463855955725,Trigonal,25,"Cu, S",Cu-S,0.0,0.377305244254167
mp-542333,Cu9S5,208.87335682228067,5.821285606199512,Trigonal,14,"Cu, S",Cu-S,0.0,-0.154668204665177
mp-684710,Cu9S5,415.3199490912191,5.8553000800886625,Triclinic,28,"Cu, S",Cu-S,0.0,-0.17720916752232002
mp-684964,Cu11S20,653.167532014538,3.407441988633388,Trigonal,31,"Cu, S",Cu-S,0.0,0.08423372529233901
mp-675278,Cu11S16,488.98139810543796,4.116004701435043,Monoclinic,27,"Cu, S",Cu-S,0.0,0.011313235829475
mp-684898,Cu18S11,450.9666061676641,5.510536883129754,Triclinic,29,"Cu, S",Cu-S,0.0,-0.15836871508979702
mp-685126,Cu39S20,856.6182936614005,6.047276537592325,Monoclinic,59,"Cu, S",Cu-S,0.0,-0.057777451546608
mp-580226,CuSe,77.48253878313065,6.108131817601714,Tetragonal,4,"Cu, Se",Cu-Se,0.0,-0.131382814531249
mp-1097707,Cu2Se,2456.9320434532096,6.684578452144643,Monoclinic,144,"Cu, Se",Cu-Se,0.051899999999999,-0.07560757614583201
mp-488,CuSe,244.8058110685361,5.799783408539689,Hexagonal,12,"Cu, Se",Cu-Se,0.0,-0.18448107953125
mp-568998,CuSe,233.79914486770332,6.072822388434362,Hexagonal,12,"Cu, Se",Cu-Se,0.0,0.032557020468748005
